Date,Open,High,Low,Close,Adj Close,Volume
41680,51.380001,52.450001,51.310001,52.240002,51.937321,4084600
41681,52.419998,52.59,51.990002,52.080002,51.778244,2586400
41682,52.080002,53.169998,52.080002,52.630001,52.325058,2734100
41683,52.200001,54.07,52.099998,53.619999,53.309322,5198400
41684,55,56.240002,54.18,55.599998,55.277847,6878500
41688,56,56.880001,55.27,56.790001,56.460953,4098200
41689,56.93,57.380001,56.57,56.790001,56.460953,3589000
41690,57.099998,57.799999,56.580002,56.740002,56.411243,4482000
41691,57.16,57.169998,55.549999,56.150002,55.824665,3420100
41694,56.439999,56.759998,55.540001,55.549999,55.228138,2982300
41695,55.919998,56.099998,55.07,56.02,55.695415,2726700
41696,56.099998,56.77,55.439999,55.549999,55.228138,3704200
41697,55.75,56.77,55.439999,56.599998,56.272053,2547900
41698,56.700001,56.830002,55.799999,56.23,55.904198,2293900
41701,55.740002,55.990002,54.919998,55.91,55.586056,1921500
41702,56.860001,57.93,56.389999,57.84,57.504871,2490200
41703,57.990002,58.169998,56.950001,57.580002,57.24638,2667000
41704,57.900002,59.93,57.810001,59.91,59.562878,4943600
41705,60,60.369999,57.84,58.560001,58.220699,4781000
41708,58.48,58.880001,56.950001,57.139999,56.808926,2924500
41709,58.09,58.91,56.470001,56.810001,56.480839,2913200
41710,56.509998,57.709999,55.900002,57.529999,57.196667,2152800
41711,57.849998,58.400002,56.43,57.349998,57.017708,3241800
41712,57.009998,58.200001,57.009998,57.619999,57.286144,2814400
41715,57.939999,59.360001,57.939999,58.41,58.071568,2697900
41716,58.560001,59.099998,57.93,58.73,58.389713,2657800
41717,58.900002,59.220001,58.34,58.860001,58.518959,2325900
41718,58.740002,59.849998,58.310001,59.849998,59.503223,2191600
41719,60.34,60.48,57.580002,57.970001,57.634117,3589400
41722,58.189999,58.630001,56.130001,56.439999,56.11298,3254800
41723,57.189999,58.099998,56.540001,56.950001,56.620026,2870200
41724,59.119999,60.310001,57.43,58.09,57.753422,5298400
41725,58.470001,58.470001,56.02,57.259998,56.92823,3208100
41726,57.830002,59.049999,57.310001,57.66,57.325912,2552700
41729,58.310001,59.580002,57.880001,58.810001,58.46925,2407400
41730,58.990002,61.279999,58.810001,60.93,60.576969,4070300
41731,61.990002,62.310001,60.689999,61.34,60.984592,3660600
41732,62.529999,63.349998,61.41,61.91,61.551285,4302900
41733,62.68,62.740002,57.040001,57.330002,56.997829,7039800
41736,56.48,57.290001,54.799999,55.720001,55.397152,5889100
41737,57.25,58.369999,55.900002,58.240002,57.902554,4189800
41738,60.119999,60.799999,58.610001,59.330002,58.986237,3436800
41739,59.700001,59.700001,57.290001,57.369999,57.037594,2822600
